RUN	ru.domrf.dominvest.scenario.Invest	invest	1716292416169	1	3.10.2
USER	Default Load Test	START	1716292417813
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292417842	1716292417968	OK	 
GROUP	TC:gRPC	1716292417816	1716292418059	126	OK
REQUEST TC:CreateOperation  1716292418060	1716292419197	100	OK
GROUP	TC:CreateOperation	1716292418060	1716292419197	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419200	1716292419220	OK	 
GROUP	TC:gRPC	1716292419199	1716292419222	20	OK
REQUEST TC:CreateOperation  1716292418060	1716292419197	100	OK
GROUP	TC:CreateOperation	1716292419222	1716292419319	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419320	1716292419342	OK
GROUP	TC:gRPC	1716292419320	1716292419343	22	OK
REQUEST TC:CreateOperation  1716292418060	1716292419197	100	OK
GROUP	TC:CreateOperation	1716292419344	1716292419407	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419408	1716292419428	OK	 
GROUP	TC:gRPC	1716292419408	1716292419429	20	OK
REQUEST TC:CreateOperation  1716292418060	1716292419197	100	OK
GROUP	TC:CreateOperation	1716292419429	1716292419523	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419525	1716292419549	OK	 
GROUP	TC:gRPC	1716292419525	1716292419553	24	OK
REQUEST TC:CreateOperation  1716292418060	1716292419197	100	OK
GROUP	TC:CreateOperation	1716292419553	1716292419647	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419648	1716292419705	OK	 
GROUP	TC:gRPC	1716292419648	1716292419707	57	OK
GROUP	TC:CreateOperation	1716292419707	1716292419774	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419775	1716292419793	OK	 
GROUP	TC:gRPC	1716292419775	1716292419795	18	OK
GROUP	TC:CreateOperation	1716292419795	1716292419891	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419892	1716292419910	OK	 
GROUP	TC:gRPC	1716292419891	1716292419912	18	OK
GROUP	TC:CreateOperation	1716292419912	1716292419964	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292419965	1716292419986	OK	 
GROUP	TC:gRPC	1716292419965	1716292419988	21	OK
GROUP	TC:CreateOperation	1716292419988	1716292420374	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292420376	1716292420395	OK	 
GROUP	TC:gRPC	1716292420376	1716292420397	19	OK
GROUP	TC:CreateOperation	1716292420397	1716292420490	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292420491	1716292420762	OK	 
GROUP	TC:gRPC	1716292420490	1716292420763	271	OK
GROUP	TC:CreateOperation	1716292420763	1716292420831	0	OK
